Response ID,Event Date,Event,Event Type,Seating Tier,Touchpoint,OSAT,LTR,Verbatim
41870,2026-07-03,Summer Sound Tour,Concert,Lower Bowl,Seat & Sightlines,7,6,
41871,2026-07-03,Summer Sound Tour,Concert,General Admission,Restrooms,5,7,Women's restroom on 200 level was out of paper towels.
41872,2026-07-03,Summer Sound Tour,Concert,General Admission,Staff & Hospitality,5,6,
41873,2026-07-03,Summer Sound Tour,Concert,Suite,Parking & Arrival,9,8,"Arrival was smooth, staff waved us right in."
41874,2026-07-03,Summer Sound Tour,Concert,Premium Club,Mobile Tickets & App,7,9,"Tickets loaded instantly, scanning was easy."
41875,2026-07-03,Summer Sound Tour,Concert,General Admission,Concessions,9,9,"Good variety, prices are what you expect."
41876,2026-07-03,Summer Sound Tour,Concert,Premium Club,Concessions,7,6,
41877,2026-07-03,Summer Sound Tour,Concert,Suite,Mobile Tickets & App,7,7,
41878,2026-07-03,Summer Sound Tour,Concert,Premium Club,Entry & Security,8,7,
41879,2026-07-03,Summer Sound Tour,Concert,Premium Club,Restrooms,8,10,
41880,2026-07-03,Summer Sound Tour,Concert,General Admission,Mobile Tickets & App,9,9,App wayfinding got us to our seats fast.
41881,2026-07-03,Summer Sound Tour,Concert,General Admission,Staff & Hospitality,5,5,
41882,2026-07-03,Summer Sound Tour,Concert,Lower Bowl,Mobile Tickets & App,7,7,
41883,2026-07-03,Summer Sound Tour,Concert,Premium Club,Entry & Security,10,10,
41884,2026-07-03,Summer Sound Tour,Concert,Lower Bowl,Seat & Sightlines,9,10,
41885,2026-07-03,Summer Sound Tour,Concert,General Admission,Concessions,7,8,
41886,2026-07-03,Summer Sound Tour,Concert,General Admission,Concessions,7,7,
41887,2026-07-03,Summer Sound Tour,Concert,General Admission,Entry & Security,9,10,
41888,2026-07-03,Summer Sound Tour,Concert,Lower Bowl,Mobile Tickets & App,6,6,App crashed at the gate and I had no signal to reload it.
41889,2026-07-03,Summer Sound Tour,Concert,General Admission,Concessions,9,10,Loved the new local food stalls on the concourse.
41890,2026-07-03,Summer Sound Tour,Concert,Premium Club,Parking & Arrival,8,7,
41891,2026-07-03,Summer Sound Tour,Concert,General Admission,Staff & Hospitality,8,7,
41892,2026-07-10,Riverside Valkyries vs. Storm,Basketball,Lower Bowl,Mobile Tickets & App,2,3,"Ticket transfer failed twice before the show, nearly missed entry."
